Make,Model,Track Sizes (Base),Track Sizes (Display),Track Sizes (Canonical w/ N/W)
Beretta,T46 (Drilling Machine),250x107.5x37;250x52.5x76;300x52.5x76,250x107.5x37;250x52.5x76 (Narrow);300x52.5x76 (Narrow),250x107.5x37;250x52.5x76(N);300x52.5x76(N)
Beretta,TD50,230x72x56,230x72x56,230x72x56
Beretta,TD75,230x72x56,230x72x56,230x72x56
Bergmann,Dumper,190x72x37,190x72x37,190x72x37
Bertani,C75,230x72x45,230x72x45,230x72x45
Bertolini,Mini-excavator,180x60x34;180x60x38;180x72x34,180x60x34;180x60x38;180x72x34,180x60x34;180x60x38;180x72x34
Betram,Crawler Crane,400x72.5x72,400x72.5x72,400x72.5x72
Bitelli,BB611C(Asphalt Finisher),250x72x52,250x72x52,250x72x52
Bluelift,Aerial Platform,230x72x43;230x72x37;230x96x39;250x48x78,230x72x43;230x72x37;230x96x39;250x48x78,230x72x43;230x72x37;230x96x39;250x48x78
Bobcat,220,230x96x33;230x48x66,230x96x33;230x48x66,230x96x33;230x48x66
Bobcat,316,180x72x38,180x72x38,180x72x38
Bobcat,319,200x72x41,200x72x41,200x72x41
Bobcat,320 (562320000 and higher),230x96x33;230x48x66,230x96x33;230x48x66,230x96x33;230x48x66
Bobcat,320 (562320000 and lower),230x72x45,230x72x45,230x72x45
Bobcat,320 L,230x96x33;230x48x66,230x96x33;230x48x66,230x96x33;230x48x66
Bobcat,321,230x96x33;230x48x66,230x96x33;230x48x66,230x96x33;230x48x66
Bobcat,322,230x96x33;230x48x66,230x96x33;230x48x66,230x96x33;230x48x66
Bobcat,322G,230x96x33;230x48x66,230x96x33;230x48x66,230x96x33;230x48x66
Bobcat,323,230x96x33;230x48x66,230x96x33;230x48x66,230x96x33;230x48x66
Bobcat,324,230x96x33;230x48x66,230x96x33;230x48x66,230x96x33;230x48x66
Bobcat,325,300x52.5x74;300x52.5x74,300x52.5x74;300x52.5x74 (Narrow),300x52.5x74;300x52.5x74(N)
Bobcat,328,320x52.5x74;300x52.5x74,320x52.5x74;300x52.5x74 (Narrow),320x52.5x74;300x52.5x74(N)
Bobcat,328G,320x52.5x74;300x52.5x74,320x52.5x74;300x52.5x74 (Narrow),320x52.5x74;300x52.5x74(N)
Bobcat,329,320x52.5x80;320x52.5x80,320x52.5x80;320x52.5x80 (Narrow),320x52.5x80;320x52.5x80(N)
